Fecha,Bajas
01/01/2022,0
02/01/2022,0
03/01/2022,7
04/01/2022,3
05/01/2022,7
06/01/2022,3
07/01/2022,12
08/01/2022,0
09/01/2022,0
10/01/2022,7
11/01/2022,3
12/01/2022,4
13/01/2022,2
14/01/2022,1
15/01/2022,3
16/01/2022,0
17/01/2022,4
18/01/2022,11
19/01/2022,5
20/01/2022,5
21/01/2022,3
22/01/2022,1
23/01/2022,0
24/01/2022,6
25/01/2022,6
26/01/2022,6
27/01/2022,5
28/01/2022,1
29/01/2022,0
30/01/2022,0
31/01/2022,2
01/02/2022,8
02/02/2022,8
03/02/2022,9
04/02/2022,3
05/02/2022,1
06/02/2022,0
07/02/2022,0
08/02/2022,6
09/02/2022,4
10/02/2022,1
11/02/2022,3
12/02/2022,0
13/02/2022,0
14/02/2022,4
15/02/2022,7
16/02/2022,2
17/02/2022,3
18/02/2022,5
19/02/2022,0
20/02/2022,0
21/02/2022,8
22/02/2022,9
23/02/2022,2
24/02/2022,5
25/02/2022,0
26/02/2022,2
27/02/2022,0
28/02/2022,5
01/03/2022,7
02/03/2022,2
03/03/2022,7
04/03/2022,7
05/03/2022,1
06/03/2022,0
07/03/2022,11
08/03/2022,5
09/03/2022,5
10/03/2022,6
11/03/2022,2
12/03/2022,0
13/03/2022,0
14/03/2022,3
15/03/2022,7
16/03/2022,1
17/03/2022,4
18/03/2022,3
19/03/2022,0
20/03/2022,1
21/03/2022,1
22/03/2022,1
23/03/2022,4
24/03/2022,5
25/03/2022,2
26/03/2022,0
27/03/2022,0
28/03/2022,3
29/03/2022,2
30/03/2022,4
31/03/2022,8
01/04/2022,4
02/04/2022,0
03/04/2022,0
04/04/2022,11
05/04/2022,2
06/04/2022,5
07/04/2022,4
08/04/2022,2
09/04/2022,0
10/04/2022,0
11/04/2022,6
12/04/2022,2
13/04/2022,2
14/04/2022,0
15/04/2022,3
16/04/2022,0
17/04/2022,0
18/04/2022,9
19/04/2022,3
20/04/2022,9
21/04/2022,11
22/04/2022,6
23/04/2022,1
24/04/2022,0
25/04/2022,6
26/04/2022,5
27/04/2022,2
28/04/2022,3
29/04/2022,5
30/04/2022,0
01/05/2022,0
02/05/2022,4
03/05/2022,10
04/05/2022,7
05/05/2022,13
06/05/2022,5
07/05/2022,3
08/05/2022,0
09/05/2022,5
10/05/2022,4
11/05/2022,3
12/05/2022,2
13/05/2022,4
14/05/2022,1
15/05/2022,0
16/05/2022,7
17/05/2022,2
18/05/2022,2
19/05/2022,2
20/05/2022,11
21/05/2022,1
22/05/2022,0
23/05/2022,9
24/05/2022,20
25/05/2022,8
26/05/2022,4
27/05/2022,3
28/05/2022,0
29/05/2022,0
30/05/2022,4
31/05/2022,23
01/06/2022,12
02/06/2022,2
03/06/2022,2
04/06/2022,0
05/06/2022,0
06/06/2022,0
07/06/2022,1
08/06/2022,7
09/06/2022,4
10/06/2022,3
11/06/2022,0
12/06/2022,0
13/06/2022,8
14/06/2022,3
15/06/2022,10
16/06/2022,4
17/06/2022,11
18/06/2022,0
19/06/2022,0
20/06/2022,5
21/06/2022,5
22/06/2022,5
23/06/2022,7
24/06/2022,16
25/06/2022,7
26/06/2022,0
27/06/2022,5
28/06/2022,5
29/06/2022,4
30/06/2022,7
01/07/2022,5
02/07/2022,2
03/07/2022,0
04/07/2022,18
05/07/2022,5
06/07/2022,1
07/07/2022,2
08/07/2022,3
09/07/2022,2
10/07/2022,1
11/07/2022,15
12/07/2022,5
13/07/2022,2
14/07/2022,1
15/07/2022,5
16/07/2022,0
17/07/2022,0
18/07/2022,6
19/07/2022,5
20/07/2022,2
21/07/2022,0
22/07/2022,5
,
,
,
,
,
,
