Fecha,Duración
03/01/2022,90
03/01/2022,126
03/01/2022,162
03/01/2022,11
04/01/2022,509
04/01/2022,35
05/01/2022,105
05/01/2022,64
06/01/2022,710
06/01/2022,57
07/01/2022,135
07/01/2022,115
07/01/2022,114
07/01/2022,239
07/01/2022,197
07/01/2022,106
07/01/2022,135
07/01/2022,94
07/01/2022,169
07/01/2022,169
07/01/2022,15
10/01/2022,522
10/01/2022,34
10/01/2022,124
10/01/2022,60
11/01/2022,70
12/01/2022,61
13/01/2022,203
13/01/2022,203
14/01/2022,1293
17/01/2022,90
17/01/2022,56
17/01/2022,305
18/01/2022,2213
18/01/2022,159
18/01/2022,118
18/01/2022,105
18/01/2022,147
18/01/2022,67
19/01/2022,825
19/01/2022,118
19/01/2022,128
19/01/2022,167
21/01/2022,913
21/01/2022,520
24/01/2022,221
24/01/2022,207
24/01/2022,207
24/01/2022,186
24/01/2022,53
25/01/2022,509
25/01/2022,159
25/01/2022,147
25/01/2022,523
25/01/2022,96
25/01/2022,89
25/01/2022,60
26/01/2022,957
26/01/2022,43
26/01/2022,78
27/01/2022,938
27/01/2022,112
27/01/2022,21
28/01/2022,239
31/01/2022,112
31/01/2022,81
01/02/2022,82
01/02/2022,1303
01/02/2022,92
01/02/2022,194
01/02/2022,91
01/02/2022,12
01/02/2022,63
01/02/2022,64
02/02/2022,1
02/02/2022,15
02/02/2022,13
02/02/2022,9
02/02/2022,71
02/02/2022,71
02/02/2022,8
02/02/2022,15
03/02/2022,38
03/02/2022,28
03/02/2022,15
03/02/2022,16
03/02/2022,7
03/02/2022,16
03/02/2022,9
03/02/2022,149
03/02/2022,23
04/02/2022,975
04/02/2022,1961
04/02/2022,154
05/02/2022,4
08/02/2022,179
08/02/2022,278
08/02/2022,124
08/02/2022,7
08/02/2022,144
08/02/2022,42
09/02/2022,13
09/02/2022,8
09/02/2022,8
09/02/2022,6
10/02/2022,125
10/02/2022,9
11/02/2022,73
11/02/2022,1015
11/02/2022,31
14/02/2022,1320
14/02/2022,38
14/02/2022,97
14/02/2022,4
15/02/2022,180
15/02/2022,26
15/02/2022,154
15/02/2022,105
15/02/2022,105
15/02/2022,26
15/02/2022,20
15/02/2022,12
15/02/2022,21
16/02/2022,244
16/02/2022,132
17/02/2022,100
17/02/2022,205
17/02/2022,30
18/02/2022,211
18/02/2022,30
18/02/2022,91
18/02/2022,22
18/02/2022,10
21/02/2022,187
21/02/2022,130
21/02/2022,18
21/02/2022,4
21/02/2022,4
21/02/2022,0
21/02/2022,264
21/02/2022,256
22/02/2022,26
22/02/2022,21
22/02/2022,19
22/02/2022,225
22/feb/2022,215
22/feb/2022,7
22/feb/2022,14
22/feb/2022,41
22/feb/2022,14
23/02/2022,6
23/feb/2022,2
24/feb/2022,50
24/feb/2022,59
24/feb/2022,287
24/feb/2022,315
24/feb/2022,343
26/feb/2022,95
26/feb/2022,1255
28/feb/2022,3118
28/feb/2022,5353
28/feb/2022,20
28/feb/2022,172
28/feb/2022,221
01/mar/2022,160
01/mar/2022,292
01/mar/2022,204
01/mar/2022,0
01/mar/2022,119
01/mar/2022,7
01/mar/2022,5
02/mar/2022,100
02/mar/2022,363
03/mar/2022,1967
03/mar/2022,57
03/mar/2022,149
03/mar/2022,92
03/mar/2022,3
03/mar/2022,220
03/mar/2022,28
04/mar/2022,157
04/mar/2022,155
04/mar/2022,17
04/mar/2022,14
04/mar/2022,16
04/mar/2022,38
04/mar/2022,14
05/mar/2022,19
07/mar/2022,53
07/mar/2022,158
07/mar/2022,178
07/mar/2022,60
07/mar/2022,6
07/mar/2022,6
07/mar/2022,6
07/mar/2022,4
07/mar/2022,4
07/mar/2022,4
07/mar/2022,27
08/mar/2022,229
08/mar/2022,140
08/mar/2022,133
08/mar/2022,126
08/mar/2022,103
09/mar/2022,6
09/mar/2022,230
09/mar/2022,783
09/mar/2022,13
09/mar/2022,55
10/mar/2022,1400
10/mar/2022,203
10/mar/2022,112
10/mar/2022,56
10/mar/2022,7
10/mar/2022,3
11/mar/2022,22
11/mar/2022,10
14/mar/2022,1652
14/mar/2022,193
14/mar/2022,13
15/mar/2022,236
15/mar/2022,201
15/mar/2022,2107
15/mar/2022,404
15/mar/2022,57
15/mar/2022,29
15/mar/2022,7
16/mar/2022,1
17/mar/2022,3
17/mar/2022,0
17/mar/2022,16
17/mar/2022,7
18/mar/2022,4
18/mar/2022,10
18/mar/2022,8
20/mar/2022,65
21/mar/2022,11
22/mar/2022,28
23/mar/2022,244
23/mar/2022,230
23/mar/2022,8
23/mar/2022,8
23/mar/2022,1
24/mar/2022,13
24/mar/2022,28
24/mar/2022,581
24/mar/2022,245
24/mar/2022,10
25/mar/2022,246
25/mar/2022,45
28/mar/2022,25
28/mar/2022,69
28/mar/2022,4
29/mar/2022,39
29/mar/2022,271
30/mar/2022,6
30/mar/2022,1
30/mar/2022,1
30/mar/2022,1
31/mar/2022,30
31/mar/2022,262
31/mar/2022,70
31/mar/2022,91
31/mar/2022,77
31/mar/2022,72
31/mar/2022,63
31/mar/2022,9
01/abr/2022,67
01/abr/2022,8
01/abr/2022,3
01/abr/2022,1
04/abr/2022,189
04/abr/2022,125
04/abr/2022,98
04/abr/2022,6
04/abr/2022,46
04/abr/2022,34
04/abr/2022,25
04/abr/2022,19
04/abr/2022,6
04/abr/2022,6
04/abr/2022,6
05/abr/2022,18
05/abr/2022,0
06/abr/2022,510
06/abr/2022,176
06/abr/2022,48
06/abr/2022,47
06/abr/2022,22
07/abr/2022,595
07/abr/2022,13
07/abr/2022,3
07/abr/2022,140
08/abr/2022,15
08/abr/2022,1
11/abr/2022,32
11/abr/2022,69
11/abr/2022,4
11/abr/2022,263
11/abr/2022,34
11/abr/2022,6
12/abr/2022,88
12/abr/2022,119
13/abr/2022,71
13/abr/2022,16
15/abr/2022,31
15/abr/2022,1
